bldg_id,Occurrence_Count,Unique_Source_Files
107711,7,"['res_564.parquet', 'res_907.parquet', 'res_763.parquet', 'res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1268.parquet']"
107763,4,"['res_450.parquet', 'res_943.parquet', 'res_763.parquet', 'res_1019.parquet']"
110043,5,"['res_1081.parquet', 'res_1019.parquet', 'res_577.parquet', 'res_414.parquet', 'res_943.parquet']"
112225,3,"['res_1135.parquet', 'res_427.parquet', 'res_1019.parquet']"
114977,4,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_577.parquet']"
116489,4,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_577.parquet']"
117468,7,"['res_564.parquet', 'res_450.parquet', 'res_907.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
117682,4,"['res_165.parquet', 'res_805.parquet', 'res_1019.parquet', 'res_1234.parquet']"
118560,7,"['res_564.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1034.parquet', 'res_1268.parquet']"
121004,4,"['res_943.parquet', 'res_1120.parquet', 'res_1019.parquet', 'res_597.parquet']"
122045,8,"['res_564.parquet', 'res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1034.parquet', 'res_1268.parquet']"
127231,3,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet']"
129583,5,"['res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1034.parquet']"
132564,4,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_577.parquet']"
132567,4,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_577.parquet']"
132903,3,"['res_943.parquet', 'res_1019.parquet', 'res_577.parquet']"
133900,5,"['res_427.parquet', 'res_1066.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_298.parquet']"
134479,3,"['res_943.parquet', 'res_1019.parquet', 'res_577.parquet']"
134585,6,"['res_564.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_1268.parquet']"
138475,5,"['res_667.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_597.parquet']"
139511,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
139773,3,"['res_943.parquet', 'res_1019.parquet', 'res_577.parquet']"
140556,5,"['res_805.parquet', 'res_748.parquet', 'res_1019.parquet', 'res_1120.parquet', 'res_1234.parquet']"
142055,4,"['res_943.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_1066.parquet']"
143775,5,"['res_1019.parquet', 'res_165.parquet', 'res_1120.parquet', 'res_1234.parquet', 'res_943.parquet']"
144736,4,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_577.parquet']"
146324,6,"['res_763.parquet', 'res_1019.parquet', 'res_165.parquet', 'res_577.parquet', 'res_943.parquet', 'res_411.parquet']"
147581,6,"['res_450.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_414.parquet', 'res_943.parquet']"
148378,4,"['res_298.parquet', 'res_427.parquet', 'res_1019.parquet', 'res_1066.parquet']"
150059,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
150351,5,"['res_1019.parquet', 'res_165.parquet', 'res_577.parquet', 'res_943.parquet', 'res_411.parquet']"
152071,6,"['res_667.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_1034.parquet']"
152887,3,"['res_1135.parquet', 'res_427.parquet', 'res_1019.parquet']"
